gene_id,gene_symbol,SRR18254680,SRR18254679,SRR18254678,SRR18254677,SRR18254676,SRR18254675
ENSG00000000003,TSPAN6,1008.861529782286,1119.0010442729251,1166.5506435479942,1055.9627550138107,976.9715545219967,1007.5790692851319
ENSG00000000419,DPM1,479.4297487207638,497.8570532994131,536.1534318016414,509.6577250657194,500.49799183943566,525.3037137080025
ENSG00000000457,SCYL3,104.5954558212862,120.63882221169042,99.52230470291812,117.42341212043132,120.53426818314605,93.87942047216981
ENSG00000000460,C1orf112,246.69880110476512,310.5270736792186,294.2932569938003,228.50997730278786,294.7299755926733,281.039278734414
ENSG00000000971,CFH,7.32685304142503,9.151909259311664,6.135501747597544,2.73567165761685,0,1.1870450984981473
ENSG00000001036,FUCA2,580.6718290394583,576.0702518164657,577.2085454793134,585.6180136392479,589.7275049215866,575.1806093694197
ENSG00000001084,GCLC,380.1646486466994,317.178183143495,254.9340541751906,390.5454646250883,397.81012812784513,386.1433511391689
ENSG00000001167,NFYA,571.2781016540202,488.5463617152119,521.8783116965009,403.1319650506395,362.4344925446256,379.88661721808535
ENSG00000001460,STPG1,120.10297291540856,148.78580878465462,147.92890849019946,101.10712215781452,135.03889235288239,168.28456204371517
ENSG00000001461,NIPAL3,498.0167114142138,408.0096846855937,385.22113604502,467.6741908349043,416.89129264905955,510.5352733625295
ENSG00000001497,LAS1L,581.4315271904492,649.3811120176243,591.7133272386094,673.2386933128045,726.7704506788998,733.0087676348339
ENSG00000001561,ENPP4,146.71574702524185,153.88696241338442,170.3833078414563,207.5803451595794,202.57407174715956,236.5400970382189
ENSG00000001617,SEMA3F,63.337141608934466,33.94724741408273,22.165749486843513,42.895602259679976,37.51528994748982,22.56369849625101
ENSG00000001629,ANKIB1,192.6411087455624,245.1083968272949,320.73623928379914,369.1071295952278,428.2347479220679,327.6715395288782
ENSG00000001630,CYP51A1,1052.4960436825504,1014.0607697184271,890.461843016915,956.6905221183949,990.5876360171327,964.1647721022904
ENSG00000001631,KRIT1,224.6727994750201,206.5511477286077,211.6408177278057,300.01694360353946,433.0895581957703,249.97941185856234
ENSG00000002016,RAD52,129.2808032762594,85.47800102488124,112.38568627585768,141.24284854682753,58.709416021163,123.24235130270065
ENSG00000002330,BAD,208.89475043306112,206.36792939820785,236.30646438926968,232.33808367616396,257.5027532080123,235.14734055280655
ENSG00000002549,LAP3,612.3349101427455,831.6709311268702,548.2178566426885,705.8875605065256,701.9570791366473,695.542527826476
ENSG00000002586,CD99,407.7364433002483,414.0651217517365,375.1452806510006,393.74146275221705,384.40403122041863,391.1381180423031
ENSG00000002587,HS3ST1,0,0.888052465097512,4.805794387054964,0,3.8810537070244058,6.079626050166758
ENSG00000002746,HECW1,0.49167829114787515,2.9494086490629807,2.541806670577286,19.69364175351348,1.2428745446774958,15.960653424936018
ENSG00000002822,MAD1L1,205.94265202692597,263.04352496897275,180.45438666671086,213.18625561719222,232.57071790068133,172.20222684554057
ENSG00000002834,LASP1,555.9675977527708,506.7167258033644,550.2763558451946,782.5206909359423,734.9999803027135,849.6173076855466
ENSG00000002919,SNX11,179.8808314702774,150.48181836645614,162.31759034728816,172.46461707049167,156.42351790534414,173.62623590077453
ENSG00000003056,M6PR,754.6480137947807,796.9357391930209,760.4167862337416,885.322073403958,875.4556125606204,791.894852804035
ENSG00000003096,KLHL13,142.91437967667991,337.21790694153464,310.3391984002743,361.7765966405677,190.53462004567322,555.8815760825823
ENSG00000003137,CYP26B1,39.574215806130965,51.912248718853874,19.674425119081985,42.59767823881863,34.378697092623,45.37953181179405
ENSG00000003147,ICA1,31.21338197076762,35.730987023795564,27.942791010084786,51.90325919284957,96.62392734867693,90.56550221907256
ENSG00000003249,DBNDD1,209.82369945989575,172.8401594637394,198.26476819927632,228.1144047426765,220.9842944902769,243.13327025837305
ENSG00000003393,ALS2,391.69678037715414,373.7198868579006,672.1708626195664,365.22408097667557,411.3049984371818,437.5426173354857
ENSG00000003400,CASP10,159.6328255924914,129.94542520675944,144.15286122613855,140.7678875698459,155.91275127211088,134.24803719703232
ENSG00000003402,CFLAR,338.52889702162327,339.6628832598715,388.70026352048075,341.4201914492545,387.65742872864513,473.29650819204244
ENSG00000003436,TFPI,88.4143921713147,111.82852435247126,95.03818961062721,234.15654560256357,218.9198304752387,209.72772363373653
ENSG00000003509,NDUFAF7,172.948445129784,213.7778304261791,228.6086325436712,159.41373775497846,183.04377484797897,150.1437090465305
ENSG00000003756,RBM5,866.6231179153614,752.8518296664436,732.1674397085957,542.0664714378873,421.77206880689556,660.5119974056257
ENSG00000003987,MTMR7,6.796024169451643,3.6481111158276396,10.601847957133902,44.42764968194318,40.236240188224556,58.15960518007245
ENSG00000003989,SLC7A2,385.1729298453964,356.94282433600443,341.3767719580875,231.86649945348418,258.5212253071018,242.17974827721127
ENSG00000004059,ARF5,501.60001433317933,487.4102188331439,558.7647262807541,672.965450809857,648.7624069251174,677.01284009741
