gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000143878,RHOB,1273.9200627022476,1.8065280388878535,0.08960336827965537,1.3331543154140323e-91,2.2115696938403383e-87
ENSG00000099194,SCD,4206.538681294655,-0.8827458454391696,0.05106008936488451,5.6576901699508194e-68,4.692771111465707e-64
ENSG00000177606,JUN,2069.0107275149544,1.060726308026735,0.06399387341228906,8.762229747071471e-63,4.845220975805621e-59
ENSG00000168028,RPSA,9683.374034657272,-0.7118433345799043,0.045034651126175156,3.581308767251549e-57,1.4852582784983987e-53
ENSG00000168209,DDIT4,612.619962183018,-1.6762478174204647,0.10678262373982186,1.0224367941854223e-56,3.392240795748394e-53
ENSG00000133124,IRS4,11393.34303059426,-0.830991200550426,0.05357224739910727,3.0371018052903313e-55,8.397080307993551e-52
ENSG00000141682,PMAIP1,828.4844489909474,1.5140219835031852,0.09785757456969536,3.7144696463123574e-55,8.802762423239384e-52
ENSG00000278828,H3C10,1808.0997470385455,-1.0384432145188063,0.06735944344407001,1.0506018256432715e-54,2.178554210699529e-51
ENSG00000184260,H2AC20,2341.3366719986357,-1.0081407594763947,0.06599631392704088,9.704488678155965e-54,1.7887529186881034e-50
ENSG00000132386,SERPINF1,168.9125269082162,-3.3374169478127658,0.224620780991613,3.9399787545709184e-51,6.536030755957697e-48
ENSG00000140598,EFL1,306.3160273411291,2.049280318286251,0.1403319747302073,1.4380461343454969e-49,2.168704302059768e-46
ENSG00000128050,PAICS,4152.874450308784,-0.7811214265825185,0.053361883709678065,1.8064801259550467e-49,2.497308234122356e-46
ENSG00000165025,SYK,142.76601545751586,3.451742084317459,0.2464267412666172,8.524634028186444e-46,1.0878088761044994e-42
ENSG00000203814,H2BC18,3993.909357981575,-0.8966029962020207,0.06434590059065685,3.748671564466115e-45,4.441908041637741e-42
ENSG00000163320,CGGBP1,654.344900058197,-1.5368598304087147,0.11298235698808197,2.405713927299306e-43,2.6605592226645458e-40
ENSG00000019549,SNAI2,571.6359431154474,-1.340035295363581,0.09872572448802505,4.060653253497829e-43,4.210136051392218e-40
ENSG00000083520,DIS3,1656.0976163283412,0.9408081730551807,0.07131613497783379,8.667593630809811e-41,8.458041808323762e-38
ENSG00000171246,NPTX1,228.56084194713316,2.3758615133899923,0.180564058372423,9.761098916400102e-41,8.99593721800896e-38
ENSG00000181163,NPM1,17160.245598461257,-0.6822193511948035,0.052085021068071585,4.567202294597716e-40,3.987648361320079e-37
ENSG00000154277,UCHL1,1512.211923752421,1.0577424431456282,0.08189411161584662,3.101423546847313e-39,2.5724757609325037e-36
ENSG00000204899,MZT1,1130.8017875312682,0.9948719901273898,0.07741022749970693,7.325614991603798e-39,5.7868870045578765e-36
ENSG00000151012,SLC7A11,401.41321362098284,-1.7422195815582255,0.1367178054100629,2.183497756311202e-38,1.6464565581566604e-35
ENSG00000180730,SHISA2,155.07465109696628,2.7247420248737386,0.21434245284538295,3.309803479855946e-38,2.387231735970882e-35
ENSG00000152749,GPR180,310.0444798249415,-1.7171356198137182,0.135414036233763,4.770267013064396e-38,3.29724831165522e-35
ENSG00000174460,ZCCHC12,360.6339786750148,1.7253752079503688,0.13707306689086884,1.4867773969040958e-37,9.865660094896818e-35
ENSG00000112306,RPS12,4437.478219938494,-0.7621479421532684,0.06061926301083656,3.4640679905037762e-37,2.2102086113256594e-34
ENSG00000144747,TMF1,332.3848128001661,-3.433966505306062,0.27534267733905354,4.9353432351735e-37,3.0323114417886365e-34
ENSG00000153904,DDAH1,447.74275636144296,1.3266464277708583,0.10868752236417559,2.0941788960562628e-35,1.240726203809905e-32
ENSG00000184678,H2BC21,1563.7963646723606,-1.041601032455944,0.08701925563033472,4.1366688006866285e-34,2.3663171977444994e-31
ENSG00000163682,RPL9,9715.426474375576,0.615111475916129,0.05135771536498071,7.5580187146750495e-34,4.1793324152581465e-31
ENSG00000109332,UBE2D3,2622.4024284758325,-1.2587576393467115,0.10709100320740188,4.543222803370155e-33,2.431210422100242e-30
ENSG00000144746,ARL6IP5,440.06452264276663,-1.678691577915576,0.14457531957909944,2.160265164110768e-32,1.1198949627322978e-29
ENSG00000164032,H2AZ1,4059.3595798127517,-0.7662408706560473,0.06680957133544625,2.162247501130932e-31,1.0869552665533646e-28
ENSG00000196262,PPIA,9017.63592114491,-0.6031082253794253,0.05334684711473867,1.9896516254184752e-30,9.707744357078554e-28
ENSG00000163584,RPL22L1,442.87655956125457,-1.4199095780679363,0.1291931449276679,2.844686877506247e-29,1.3483003031700325e-26
ENSG00000278677,H2AC17,1356.8220444224694,-0.7753733158863223,0.07069716513665075,6.344531314829869e-29,2.923595277269797e-26
ENSG00000274997,H2AC12,2063.143784612301,-0.8008792560572012,0.07343349289861693,1.1786226279181545e-28,5.284370479603856e-26
ENSG00000109475,RPL34,3304.1404419910386,-0.6609578787037435,0.060672887057335964,1.741490232779122e-28,7.407584992710988e-26
ENSG00000120885,CLU,792.5393908423006,1.5805139133442192,0.14602637428611762,1.7312082725730352e-28,7.407584992710988e-26
ENSG00000134762,DSC3,303.52828036745564,1.7697803131843748,0.166636727750972,1.422810391696557e-27,5.9007503969635465e-25
ENSG00000071794,HLTF,847.1839761811079,-1.019833445679412,0.0958801517116652,1.64049044911534e-27,6.63758440496936e-25
ENSG00000168298,H1-4,5968.5488440841655,-0.771188221507482,0.07348407092834457,1.6111977998602194e-26,6.36384769092409e-24
ENSG00000196747,H2AC13,1930.5972637729596,-0.8571429965634227,0.08296439755242505,5.101464296163702e-26,1.9680974699781315e-23
ENSG00000135046,ANXA1,197.0882264850921,2.4403219924713424,0.23875466549117558,6.934967688416013e-26,2.614640431434846e-23
ENSG00000196890,H2BC26,1520.3156191573255,-0.7409011344294901,0.07186898567475722,7.624648915291933e-26,2.8107844634617307e-23
ENSG00000021826,CPS1,164.227234342616,-1.9018330455524828,0.18573603648402628,8.414370876519829e-26,3.034478227621466e-23
ENSG00000013588,GPRC5A,230.77025155373153,3.3474210047222344,0.33243597367661004,1.967580849061808e-25,6.944723128741773e-23
ENSG00000148677,ANKRD1,98.80409924026888,2.784978545071889,0.27465220282258734,2.3085640083683787e-25,7.978493403088132e-23
ENSG00000175868,CALCB,140.41516376965484,2.0974375402622725,0.2080475289323668,4.2260869109437345e-25,1.430746036033584e-22
